1	2	3	10	11	12												
4	5	6	13	14	15												
7	8	9	16	17	18												
1	4	7	10	13	16												
2	5	8	11	14	17												
3	6	9	12	15	18												
1	4	8	12	15	17												
2	6	7	10	14	18												
3	5	9	11	13	16												
1	2	3	5	6	10	11	12	15									
4	7	8	9	13	14	16	17	18									
1	4	5	7	8	10	13	14	16									
2	3	6	9	11	12	15	17	18									
1	2	4	7	8	12	15	17	18									
3	5	6	9	10	11	13	14	16									
1	2	3	4	5	6	10	11	12	13	14	15						
4	5	6	7	8	9	13	14	15	16	17	18						
1	2	4	5	7	8	10	11	13	14	16	17						
2	3	5	6	8	9	11	12	14	15	17	18						
1	2	4	6	7	8	10	12	14	15	17	18						
2	3	5	6	7	9	10	11	13	14	16	18						
2	3	4	5	6	8	9	10	11	12	13	14	16	17	18			
1	4	5	6	7	8	9	11	12	13	14	15	16	17	18			
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
