11	15	1									
0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
34	39	40	33	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	27	0	0	0	0	0	0	0	0	20
22	0	0	0	0	0	0	0	0	0	0	0	24	0	0
0	0	0	0	0	0	0	0	0	22	0	0	20	0	0
0	0	0	37	0	0	35	0	0	0	0	0	0	0	0
0	0	0	0	10	0	0	0	12	0	0	0	0	0	0
0	0	0	0	0	0	0	39	0	0	0	32	0	36	0
0	0	0	0	0	0	0	0	0	0	0	44	0	0	0
0	23	24	0	0	21	0	0	19	0	0	0	0	0	0
0	0	48	0	0	0	0	0	0	0	0	45	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
0	0	0	1	1	1	0	0	0	0	0
0	0	0	0	0	0	1	1	0	0	0
